Name,Template,Reference
aces,image/aces,[SMPTE][Howard_Lukk]
apng,image/apng,[W3C][W3C_PNG_Working_Group]
avci,image/avci,[ISO-IEC_JTC_1][David_Singer]
avcs,image/avcs,[ISO-IEC_JTC_1][David_Singer]
avif,image/avif,[Alliance_for_Open_Media][Cyril_Concolato]
bmp,image/bmp,[RFC7903]
cgm,image/cgm,[Alan_Francis]
dicom-rle,image/dicom-rle,[DICOM_Standard_Committee][David_Clunie]
dpx,image/dpx,[SMPTE][SMPTE_Director_of_Standards_Development]
emf,image/emf,[RFC7903]
example,image/example,[RFC4735]
fits,image/fits,[RFC4047]
g3fax,image/g3fax,[RFC1494]
gif,,[RFC2045][RFC2046]
heic,image/heic,[ISO-IEC_JTC_1][David_Singer]
heic-sequence,image/heic-sequence,[ISO-IEC_JTC_1][David_Singer]
heif,image/heif,[ISO-IEC_JTC_1][David_Singer]
heif-sequence,image/heif-sequence,[ISO-IEC_JTC_1][David_Singer]
hej2k,image/hej2k,[ISO-IEC_JTC_1][ITU-T]
hsj2,image/hsj2,[ISO-IEC_JTC_1][ITU-T]
ief,,[RFC1314]
j2c,image/j2c,[ISO-IEC_JTC_1_SC_29_WG_1][ISO-IEC_JTC_1][ITU-T]
jls,image/jls,[DICOM_Standard_Committee][David_Clunie]
jp2,image/jp2,[RFC3745]
jpeg,,[RFC2045][RFC2046]
jph,image/jph,[ISO-IEC_JTC_1][ITU-T]
jphc,image/jphc,[ISO-IEC_JTC_1][ITU-T]
jpm,image/jpm,[RFC3745]
jpx,image/jpx,[RFC3745]
jxr,image/jxr,[ISO-IEC_JTC_1][ITU-T]
jxrA,image/jxrA,[ISO-IEC_JTC_1][ITU-T]
jxrS,image/jxrS,[ISO-IEC_JTC_1][ITU-T]
jxs,image/jxs,[ISO-IEC_JTC_1]
jxsc,image/jxsc,[ISO-IEC_JTC_1]
jxsi,image/jxsi,[ISO-IEC_JTC_1]
jxss,image/jxss,[ISO-IEC_JTC_1]
ktx,image/ktx,[Khronos][Mark_Callow]
ktx2,image/ktx2,[Khronos][Mark_Callow]
naplps,image/naplps,[Ilya_Ferber]
png,image/png,[W3C][PNG_Working_Group]
prs.btif,image/prs.btif,[Ben_Simon]
prs.pti,image/prs.pti,[Juern_Laun]
pwg-raster,image/pwg-raster,[Michael_Sweet]
svg+xml,image/svg+xml,[W3C][http://www.w3.org/TR/SVG/mimereg.html]
t38,image/t38,[RFC3362]
tiff,image/tiff,[RFC3302]
tiff-fx,image/tiff-fx,[RFC3950]
vnd.adobe.photoshop,image/vnd.adobe.photoshop,[Kim_Scarborough]
vnd.airzip.accelerator.azv,image/vnd.airzip.accelerator.azv,[Gary_Clueit]
vnd.cns.inf2,image/vnd.cns.inf2,[Ann_McLaughlin]
vnd.dece.graphic,image/vnd.dece.graphic,[Michael_A_Dolan]
vnd.djvu,image/vnd.djvu,[Leon_Bottou]
vnd.dwg,image/vnd.dwg,[Jodi_Moline]
vnd.dxf,image/vnd.dxf,[Jodi_Moline]
vnd.dvb.subtitle,image/vnd.dvb.subtitle,[Peter_Siebert][Michael_Lagally]
vnd.fastbidsheet,image/vnd.fastbidsheet,[Scott_Becker]
vnd.fpx,image/vnd.fpx,[Marc_Douglas_Spencer]
vnd.fst,image/vnd.fst,[Arild_Fuldseth]
vnd.fujixerox.edmics-mmr,image/vnd.fujixerox.edmics-mmr,[Masanori_Onda]
vnd.fujixerox.edmics-rlc,image/vnd.fujixerox.edmics-rlc,[Masanori_Onda]
vnd.globalgraphics.pgb,image/vnd.globalgraphics.pgb,[Martin_Bailey]
vnd.microsoft.icon,image/vnd.microsoft.icon,[Simon_Butcher]
vnd.mix,image/vnd.mix,[Saveen_Reddy]
vnd.ms-modi,image/vnd.ms-modi,[Gregory_Vaughan]
vnd.mozilla.apng,image/vnd.mozilla.apng,[Stuart_Parmenter]
vnd.net-fpx,image/vnd.net-fpx,[Marc_Douglas_Spencer]
vnd.pco.b16,image/vnd.pco.b16,[PCO_AG][Jan_Zeman]
vnd.radiance,image/vnd.radiance,[Randolph_Fritz][Greg_Ward]
vnd.sealed.png,image/vnd.sealed.png,[David_Petersen]
vnd.sealedmedia.softseal.gif,image/vnd.sealedmedia.softseal.gif,[David_Petersen]
vnd.sealedmedia.softseal.jpg,image/vnd.sealedmedia.softseal.jpg,[David_Petersen]
vnd.svf,image/vnd.svf,[Jodi_Moline]
vnd.tencent.tap,image/vnd.tencent.tap,[Ni_Hui]
vnd.valve.source.texture,image/vnd.valve.source.texture,[Henrik_Andersson]
vnd.wap.wbmp,image/vnd.wap.wbmp,[Peter_Stark]
vnd.xiff,image/vnd.xiff,[Steven_Martin]
vnd.zbrush.pcx,image/vnd.zbrush.pcx,[Chris_Charabaruk]
webp,image/webp,[RFC-zern-webp-12]
wmf,image/wmf,[RFC7903]
x-emf - DEPRECATED in favor of image/emf,image/emf,[RFC7903]
x-wmf - DEPRECATED in favor of image/wmf,image/wmf,[RFC7903]
