Name,Template,Reference
1d-interleaved-parityfec,text/1d-interleaved-parityfec,[RFC6015]
cache-manifest,text/cache-manifest,[W3C][Robin_Berjon]
calendar,text/calendar,[RFC5545]
cql,text/cql,[HL7][Bryn_Rhodes]
cql-expression,text/cql-expression,[HL7][Bryn_Rhodes]
cql-identifier,text/cql-identifier,[HL7][Bryn_Rhodes]
css,text/css,[RFC2318]
csv,text/csv,[RFC4180][RFC7111]
csv-schema,text/csv-schema,[National_Archives_UK][David_Underdown]
directory - DEPRECATED by RFC6350,text/directory,[RFC2425][RFC6350]
dns,text/dns,[RFC4027]
ecmascript (OBSOLETED in favor of text/javascript),text/ecmascript,[RFC9239]
encaprtp,text/encaprtp,[RFC6849]
enriched,,[RFC1896]
example,text/example,[RFC4735]
fhirpath,text/fhirpath,[HL7][Bryn_Rhodes]
flexfec,text/flexfec,[RFC8627]
fwdred,text/fwdred,[RFC6354]
gff3,text/gff3,[Sequence_Ontology]
grammar-ref-list,text/grammar-ref-list,[RFC6787]
hl7v2,text/hl7v2,[HL7][Marc_Duteau]
html,text/html,[W3C][Robin_Berjon]
javascript,text/javascript,[RFC9239]
jcr-cnd,text/jcr-cnd,[Peeter_Piegaze]
markdown,text/markdown,[RFC7763]
mizar,text/mizar,[Jesse_Alama]
n3,text/n3,[W3C][Eric_Prudhommeaux]
parameters,text/parameters,[RFC7826]
parityfec,text/parityfec,[RFC3009]
plain,,[RFC2046][RFC3676][RFC5147]
provenance-notation,text/provenance-notation,[W3C][Ivan_Herman]
prs.fallenstein.rst,text/prs.fallenstein.rst,[Benja_Fallenstein]
prs.lines.tag,text/prs.lines.tag,[John_Lines]
prs.prop.logic,text/prs.prop.logic,[Hans-Dieter_A._Hiep]
prs.texi,text/prs.texi,[Matin_Bavardi]
raptorfec,text/raptorfec,[RFC6682]
RED,text/RED,[RFC4102]
rfc822-headers,text/rfc822-headers,[RFC6522]
richtext,,[RFC2045][RFC2046]
rtf,text/rtf,[Paul_Lindner]
rtp-enc-aescm128,text/rtp-enc-aescm128,[_3GPP]
rtploopback,text/rtploopback,[RFC6849]
rtx,text/rtx,[RFC4588]
SGML,text/SGML,[RFC1874]
shaclc,text/shaclc,[W3C_SHACL_Community_Group][Vladimir_Alexiev]
shex,text/shex,[W3C][Eric_Prudhommeaux]
spdx,text/spdx,[Linux_Foundation][Rose_Judge]
strings,text/strings,[IEEE-ISTO-PWG-PPP]
t140,text/t140,[RFC4103]
tab-separated-values,text/tab-separated-values,[Paul_Lindner]
troff,text/troff,[RFC4263]
turtle,text/turtle,[W3C][Eric_Prudhommeaux]
ulpfec,text/ulpfec,[RFC5109]
uri-list,text/uri-list,[RFC2483]
vcard,text/vcard,[RFC6350]
vnd.a,text/vnd.a,[Regis_Dehoux]
vnd.abc,text/vnd.abc,[Steve_Allen]
vnd.ascii-art,text/vnd.ascii-art,[Kim_Scarborough]
vnd.curl,text/vnd.curl,[Robert_Byrnes]
vnd.debian.copyright,text/vnd.debian.copyright,[Charles_Plessy]
vnd.DMClientScript,text/vnd.DMClientScript,[Dan_Bradley]
vnd.dvb.subtitle,text/vnd.dvb.subtitle,[Peter_Siebert][Michael_Lagally]
vnd.esmertec.theme-descriptor,text/vnd.esmertec.theme-descriptor,[Stefan_Eilemann]
vnd.exchangeable,text/vnd.exchangeable,[Martin_Cizek]
vnd.familysearch.gedcom,text/vnd.familysearch.gedcom,[Gordon_Clarke]
vnd.ficlab.flt,text/vnd.ficlab.flt,[Steve_Gilberd]
vnd.fly,text/vnd.fly,[John-Mark_Gurney]
vnd.fmi.flexstor,text/vnd.fmi.flexstor,[Kari_E._Hurtta]
vnd.gml,text/vnd.gml,[Mi_Tar]
vnd.graphviz,text/vnd.graphviz,[John_Ellson]
vnd.hans,text/vnd.hans,[Hill_Hanxv]
vnd.hgl,text/vnd.hgl,[Heungsub_Lee]
vnd.in3d.3dml,text/vnd.in3d.3dml,[Michael_Powers]
vnd.in3d.spot,text/vnd.in3d.spot,[Michael_Powers]
vnd.IPTC.NewsML,text/vnd.IPTC.NewsML,[IPTC]
vnd.IPTC.NITF,text/vnd.IPTC.NITF,[IPTC]
vnd.latex-z,text/vnd.latex-z,[Mikusiak_Lubos]
vnd.motorola.reflex,text/vnd.motorola.reflex,[Mark_Patton]
vnd.ms-mediapackage,text/vnd.ms-mediapackage,[Jan_Nelson]
vnd.net2phone.commcenter.command,text/vnd.net2phone.commcenter.command,[Feiyu_Xie]
vnd.radisys.msml-basic-layout,text/vnd.radisys.msml-basic-layout,[RFC5707]
vnd.senx.warpscript,text/vnd.senx.warpscript,[Pierre_Papin]
vnd.si.uricatalogue (OBSOLETED by request),text/vnd.si.uricatalogue,[Nicholas_Parks_Young]
vnd.sun.j2me.app-descriptor,text/vnd.sun.j2me.app-descriptor,[Gary_Adams]
vnd.sosi,text/vnd.sosi,[Petter_Reinholdtsen]
vnd.trolltech.linguist,text/vnd.trolltech.linguist,[David_Lee_Lambert]
vnd.wap.si,text/vnd.wap.si,[WAP-Forum]
vnd.wap.sl,text/vnd.wap.sl,[WAP-Forum]
vnd.wap.wml,text/vnd.wap.wml,[Peter_Stark]
vnd.wap.wmlscript,text/vnd.wap.wmlscript,[Peter_Stark]
vtt,text/vtt,[W3C][Silvia_Pfeiffer]
wgsl,text/wgsl,[W3C][David_Neto]
xml,text/xml,[RFC7303]
xml-external-parsed-entity,text/xml-external-parsed-entity,[RFC7303]
